total_trajT: 30.499704
time,0.000022,0.100013,0.200012,0.299971,0.400024,0.500088,0.599934,0.699984,0.799972,0.900111,1.000122,1.100046,1.200100,1.299949,1.399931,1.500020,1.600029,1.700132,1.800080,1.900050,1.999964,2.099894,2.199918,2.299988,2.400032,2.500054,2.599967,2.701366,2.801345,2.902402,3.000049,3.099926,3.199887,3.300673,3.402305,3.500144,3.600049,3.699919,3.799877,3.899944,4.001218,4.101534,4.205171,4.301792,4.399845,4.499940,4.600042,4.699977,4.800024,4.899997,5.000025,5.099982,5.200024,5.299941,5.399911,5.499805,5.601126,5.701489,5.800009,5.899953,5.999937,6.100200,6.203669,6.300985,6.400126,6.499905,6.600059,6.699868,6.800040,6.899950,6.999923,7.099939,7.199953,7.299889,7.399996,7.499969,7.599962,7.699985,7.799864,7.899978,8.001991,8.101149,8.199481,8.301952,8.404326,8.501018,8.599824,8.701092,8.803620,8.899898,9.006023,9.099908,9.199872,9.299771,9.401818,9.502142,9.600111,9.700086,9.799815,9.903914,9.998959,10.111250,10.206008,10.301815,10.401999,10.501262,10.600260,10.700136,10.803924,10.899855,11.000146,11.100923,11.200368,11.299853,11.399883,11.499984,11.599989,11.699986,11.799895,11.899918,11.999944,12.099957,12.199964,12.300006,12.399961,12.499895,12.599805,12.699948,12.800718,12.899899,13.004578,13.099825,13.199879,13.299862,13.399843,13.499900,13.599904,13.699834,13.799870,13.899917,13.999942,14.099865,14.199857,14.299887,14.399903,14.499904,14.599867,14.700031,14.799941,14.899967,14.999867,15.099847,15.199815,15.299803,15.399849,15.499817,15.599874,15.699903,15.799878,15.899849,15.999831,16.099791,16.199902,16.299926,16.399906,16.499889,16.599959,16.699883,16.799936,16.899840,16.999887,17.099845,17.199872,17.299900,17.399820,17.499827,17.599901,17.699905,17.799915,17.899917,17.999909,18.099805,18.199804,18.299859,18.399892,18.499906,18.599929,18.699899,18.799825,18.899803,18.999779,19.099925,19.199768,19.299884,19.399869,19.499820,19.599809,19.699880,19.799853,19.899907,19.999892,20.099920,20.199829,20.299846,20.399758,20.499802,20.599894,20.699826,20.799902,20.899926,20.999863,21.099786,21.199780,21.299866,21.399917,21.499881,21.599892,21.699793,21.799793,21.899849,21.999808,22.099965,22.199931,22.299801,22.399750,22.499847,22.599849,22.700005,22.799831,22.899863,22.999759,23.099810,23.199800,23.299843,23.399809,23.499888,23.599840,23.699754,23.799819,23.899817,23.999869,24.099845,24.199863,24.299900,24.399806,24.499855,24.599923,24.699812,24.799840,24.899774,24.999774,25.099709,25.199767,25.299816,25.399764,25.499843,25.599871,25.699771,25.799780,25.899758,25.999801,26.099753,26.199933,26.299865,26.399936,26.499858,26.599782,26.699771,26.799789,26.899820,26.999859,27.099839,27.199814,27.299767,27.399767,27.499747,27.599849,27.699855,27.799819,27.899868
j1,1.913804,1.901192,1.891883,1.890831,1.890849,1.890893,1.891743,1.894835,1.900450,1.906770,1.913614,1.921899,1.930139,1.939355,1.949092,1.958601,1.969126,1.979371,1.990455,2.001360,2.012520,2.024000,2.035572,2.047120,2.058753,2.070399,2.082358,2.095297,2.101251,2.097379,2.081165,2.063425,2.050794,2.043617,2.039723,2.038753,2.037728,2.037104,2.037010,2.036914,2.036800,2.036762,2.036707,2.036667,2.036671,2.036653,2.036509,2.036501,2.036487,2.036408,2.036134,2.036102,2.036757,2.053078,2.093007,2.143412,2.187246,2.213823,2.218892,2.218820,2.219923,2.222271,2.226197,2.228711,2.229512,2.230406,2.230749,2.231202,2.231617,2.231876,2.231884,2.231886,2.231840,2.231846,2.231844,2.231850,2.231844,2.233001,2.251557,2.293738,2.352481,2.407353,2.437660,2.448341,2.449516,2.449663,2.449647,2.449653,2.449647,2.449631,2.449639,2.449637,2.449641,2.449637,2.449641,2.449639,2.449643,2.449643,2.449645,2.449645,2.449649,2.449657,2.449673,2.449713,2.449773,2.449781,2.449785,2.449787,2.449789,2.449795,2.449813,2.449879,2.450034,2.450082,2.450080,2.450068,2.449956,2.449954,2.449952,2.449952,2.449952,2.449952,2.450864,2.469131,2.512027,2.568987,2.629562,2.691154,2.752796,2.812970,2.855009,2.865901,2.868738,2.871091,2.872213,2.873224,2.873351,2.873517,2.873615,2.873629,2.874920,2.893078,2.936436,2.992010,3.030115,3.041074,3.043470,3.045600,3.046249,3.046273,3.046269,3.046277,3.046277,3.046277,3.046277,3.047931,3.066480,3.109453,3.167069,3.227991,3.286827,3.328397,3.343314,3.345883,3.345933,3.345925,3.345995,3.345999,3.346015,3.346017,3.346023,3.346023,3.346025,3.346027,3.346029,3.346037,3.346039,3.346041,3.346041,3.346041,3.346041,3.346041,3.346041,3.346041,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346043,3.346045,3.346045,3.346045,3.346045,3.346045,3.346045,3.346045,3.346045,3.346045,3.346045,3.346045,3.346045,3.346045,3.346045,3.346045,3.347409,3.366109,3.406881,3.451236,3.485467,3.510716,3.532082,3.551729,3.568581,3.582832,3.595296,3.605801,3.615139,3.623130
j2,2.639587,2.640429,2.640929,2.640888,2.640174,2.638587,2.636600,2.633869,2.630808,2.627653,2.623975,2.620324,2.617249,2.614060,2.610616,2.606789,2.602755,2.598845,2.595787,2.592394,2.588480,2.584269,2.580304,2.577059,2.573616,2.568878,2.563389,2.558764,2.554092,2.548958,2.545330,2.543797,2.542152,2.540576,2.540329,2.540276,2.540223,2.540143,2.540112,2.540104,2.540100,2.540078,2.539979,2.539805,2.539805,2.539809,2.539807,2.539809,2.539816,2.539826,2.539826,2.539826,2.539079,2.526835,2.510329,2.495311,2.480998,2.464821,2.451620,2.444681,2.438764,2.435101,2.433054,2.432558,2.432333,2.432014,2.431574,2.431343,2.431258,2.430991,2.430976,2.430978,2.430980,2.430980,2.430980,2.430980,2.430980,2.429983,2.420051,2.408797,2.398786,2.393697,2.391604,2.389411,2.388940,2.388884,2.388444,2.388103,2.387946,2.387861,2.387600,2.387592,2.387583,2.387575,2.387565,2.387558,2.387551,2.387546,2.387546,2.387546,2.387543,2.387543,2.387543,2.387539,2.387537,2.387539,2.387539,2.387539,2.387539,2.387539,2.387539,2.387537,2.387537,2.387539,2.387539,2.387546,2.387551,2.387553,2.387553,2.387553,2.387553,2.387553,2.386530,2.365542,2.320163,2.273019,2.239440,2.214116,2.189620,2.171087,2.166255,2.165908,2.165913,2.165911,2.165908,2.165904,2.165904,2.165904,2.165906,2.165904,2.164655,2.150023,2.132503,2.122148,2.115467,2.107448,2.101796,2.098433,2.096304,2.094712,2.094356,2.094002,2.093618,2.093555,2.093468,2.092623,2.088276,2.084929,2.082268,2.079224,2.075256,2.067249,2.058285,2.051110,2.047742,2.046017,2.044359,2.043532,2.043230,2.043184,2.043165,2.043157,2.043150,2.043147,2.043142,2.043135,2.043123,2.043119,2.043118,2.043116,2.043116,2.043116,2.043114,2.043114,2.043113,2.043113,2.043113,2.043113,2.043111,2.043111,2.043111,2.043109,2.043109,2.043109,2.043109,2.043108,2.043108,2.043108,2.043106,2.043106,2.043106,2.043106,2.043104,2.043104,2.043104,2.043104,2.043104,2.043104,2.043102,2.043102,2.043102,2.043102,2.043102,2.043101,2.043101,2.043101,2.043101,2.043101,2.043101,2.043099,2.043099,2.043099,2.043099,2.043099,2.043097,2.043097,2.043097,2.043097,2.043097,2.043097,2.043097,2.043097,2.043096,2.043096,2.043096,2.043096,2.043096,2.043096,2.043094,2.043094,2.043094,2.043094,2.043094,2.043094,2.043094,2.043092,2.043092,2.043092,2.043092,2.043092,2.043092,2.043092,2.043091,2.043091,2.043091,2.043091,2.043091,2.043091,2.043091,2.043091,2.043089,2.043089,2.043089,2.043089,2.043089,2.043089,2.043126,2.043215,2.044701,2.047594,2.049864,2.051238,2.053143,2.055287,2.056354,2.057512,2.059322,2.060499,2.061043,2.061812
j3,3.209585,3.209302,3.209197,3.209227,3.209260,3.209321,3.209538,3.209908,3.210424,3.211522,3.212481,3.213395,3.214390,3.215276,3.216423,3.217530,3.218382,3.219348,3.220417,3.221550,3.222478,3.223420,3.224651,3.225779,3.226728,3.227785,3.228568,3.229948,3.230352,3.229958,3.226480,3.221988,3.218254,3.216454,3.215583,3.215455,3.215068,3.214953,3.214948,3.214942,3.214942,3.214944,3.215046,3.215125,3.216350,3.225005,3.235876,3.243316,3.248063,3.250928,3.252082,3.252987,3.253977,3.254475,3.254727,3.250357,3.242846,3.237688,3.237572,3.249455,3.273147,3.307545,3.335992,3.352811,3.368027,3.378884,3.387089,3.392697,3.396162,3.398662,3.401301,3.403636,3.404670,3.405332,3.405887,3.406378,3.406405,3.405533,3.388758,3.365605,3.340616,3.318339,3.304799,3.297435,3.294005,3.292449,3.292386,3.292806,3.294222,3.296605,3.299933,3.303485,3.307808,3.313160,3.319297,3.326306,3.333487,3.344252,3.356309,3.369462,3.379493,3.394664,3.412555,3.430913,3.451980,3.472056,3.489054,3.501744,3.509905,3.514636,3.517813,3.520622,3.524067,3.528091,3.530806,3.532265,3.532829,3.533502,3.533961,3.534051,3.534085,3.534109,3.533305,3.513871,3.476793,3.444854,3.423197,3.405620,3.390276,3.379530,3.377106,3.376774,3.376672,3.376687,3.376939,3.383967,3.403300,3.423189,3.439698,3.450671,3.455704,3.445754,3.429637,3.418633,3.416327,3.415757,3.415471,3.415485,3.415487,3.415485,3.415483,3.415483,3.415483,3.415483,3.415483,3.414232,3.406751,3.399051,3.393978,3.389978,3.387251,3.386879,3.389700,3.407777,3.426342,3.438355,3.446280,3.450710,3.453166,3.454245,3.455119,3.455506,3.455588,3.455649,3.455714,3.455958,3.456302,3.456333,3.456338,3.456342,3.456343,3.456343,3.456345,3.456347,3.456347,3.456348,3.456348,3.456348,3.456348,3.456348,3.456348,3.456350,3.456350,3.456350,3.456350,3.456350,3.456350,3.456352,3.456352,3.456352,3.456352,3.456352,3.456352,3.456352,3.456352,3.456352,3.456354,3.456354,3.456354,3.456354,3.456354,3.456354,3.456354,3.456354,3.456354,3.456354,3.456354,3.456354,3.456354,3.456354,3.456354,3.456354,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.456355,3.455585,3.444769,3.431223,3.421217,3.413525,3.406531,3.400390,3.394958,3.390319,3.386419,3.383106,3.380258,3.377491,3.375131
j4,1.776839,1.776836,1.776836,1.776839,1.776844,1.776854,1.776878,1.776936,1.777049,1.777410,1.777690,1.778122,1.778658,1.779273,1.779581,1.780200,1.780628,1.781029,1.781490,1.781842,1.782264,1.782765,1.783425,1.783590,1.784107,1.784262,1.784263,1.780942,1.755297,1.706434,1.657105,1.615979,1.583863,1.552943,1.515766,1.488364,1.458985,1.432065,1.405285,1.379214,1.354935,1.330856,1.299911,1.264184,1.217265,1.182159,1.160997,1.148766,1.142318,1.138516,1.136184,1.134987,1.135180,1.154247,1.199213,1.251169,1.283889,1.288387,1.260755,1.217072,1.193202,1.189650,1.175403,1.159390,1.147024,1.139170,1.133951,1.129796,1.124466,1.120229,1.118105,1.117577,1.117263,1.117140,1.116585,1.116050,1.115794,1.116820,1.136726,1.182952,1.246152,1.290611,1.312227,1.301738,1.258856,1.219856,1.190886,1.169035,1.150121,1.139187,1.129571,1.123842,1.119711,1.117408,1.114620,1.111206,1.105308,1.095845,1.085937,1.077557,1.072679,1.065597,1.059476,1.054457,1.047429,1.040254,1.035587,1.032821,1.031125,1.029881,1.029306,1.028935,1.028625,1.027907,1.027459,1.027445,1.027447,1.027447,1.027445,1.027445,1.027445,1.027445,1.028744,1.049492,1.096977,1.157155,1.216488,1.267465,1.305595,1.328566,1.326055,1.294886,1.243063,1.201854,1.175928,1.160990,1.152920,1.148577,1.146145,1.144747,1.144996,1.162930,1.204322,1.235741,1.237127,1.208215,1.163639,1.132151,1.113668,1.103006,1.097095,1.093567,1.091833,1.090585,1.090062,1.090253,1.109140,1.155340,1.214572,1.274542,1.326263,1.351555,1.346724,1.309454,1.270423,1.245371,1.230358,1.221824,1.217270,1.215298,1.215211,1.215927,1.216829,1.217599,1.218267,1.218726,1.218901,1.218956,1.218997,1.219063,1.219101,1.219119,1.219126,1.219135,1.219140,1.219143,1.219147,1.219147,1.219148,1.219150,1.219152,1.219153,1.219153,1.219155,1.219155,1.219155,1.219157,1.219157,1.219157,1.219159,1.219159,1.219159,1.219159,1.219160,1.219160,1.219160,1.219160,1.219162,1.219162,1.219162,1.219162,1.219162,1.219162,1.219164,1.219164,1.219164,1.219164,1.219164,1.219164,1.219164,1.219164,1.219164,1.219164,1.219164,1.219164,1.219164,1.219165,1.219165,1.219165,1.219165,1.219165,1.219165,1.219165,1.219165,1.219165,1.219165,1.219165,1.219165,1.219165,1.219165,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219167,1.219169,1.219169,1.219169,1.219169,1.219169,1.221097,1.242744,1.290460,1.350493,1.411937,1.471921,1.524726,1.567984,1.604565,1.636347,1.664144,1.687844,1.708449,1.726100
j5,3.913982,3.913915,3.913796,3.913796,3.913799,3.913804,3.913809,3.913816,3.913826,3.913844,3.913863,3.913893,3.913928,3.913982,3.914295,3.915110,3.915775,3.916923,3.917909,3.918611,3.919095,3.920525,3.921983,3.922184,3.922332,3.923559,3.925840,3.926343,3.927293,3.932579,3.942966,3.949348,3.954596,3.956614,3.957898,3.958282,3.958387,3.958434,3.958446,3.958458,3.958471,3.958476,3.958503,3.958900,3.958912,3.958917,3.958920,3.958922,3.958922,3.958922,3.958922,3.958922,3.958905,3.958873,3.958788,3.958664,3.958803,3.965157,3.970594,3.974003,3.977808,3.981071,3.982013,3.982026,3.982043,3.982063,3.982137,3.982187,3.982197,3.982199,3.982201,3.982201,3.982204,3.982204,3.982204,3.982206,3.982206,3.982209,3.982224,3.983384,3.984993,3.985100,3.985536,3.988184,3.989703,3.990375,3.990906,3.991421,3.991436,3.991454,3.991464,3.991466,3.991466,3.991469,3.991471,3.991476,3.991478,3.991478,3.991484,3.991486,3.991486,3.991486,3.991486,3.991488,3.991491,3.991491,3.991491,3.991493,3.991493,3.991493,3.991493,3.991493,3.991493,3.991493,3.991493,3.991493,3.991493,3.991496,3.991496,3.991496,3.991496,3.991496,3.994223,4.007682,4.020219,4.026804,4.031262,4.036944,4.042269,4.045658,4.061812,4.098397,4.141282,4.167797,4.182798,4.191723,4.196480,4.198751,4.200211,4.201255,4.201280,4.184201,4.160371,4.154555,4.171969,4.218138,4.257101,4.279421,4.291903,4.299527,4.303801,4.306394,4.307219,4.307899,4.307953,4.307777,4.287793,4.244643,4.210391,4.189045,4.184516,4.207639,4.266326,4.320121,4.352313,4.370341,4.380399,4.386223,4.388997,4.391107,4.391709,4.392247,4.392369,4.392512,4.392842,4.393502,4.393544,4.393549,4.393549,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393551,4.393398,4.372788,4.322189,4.268777,4.232017,4.203414,4.176704,4.152319,4.131655,4.115055,4.099359,4.086532,4.074590,4.065591
j6,3.791381,3.790652,3.790081,3.790111,3.790171,3.790962,3.793547,3.796941,3.799693,3.802249,3.804614,3.807200,3.809892,3.812694,3.815609,3.819127,3.822940,3.825980,3.829336,3.832257,3.834925,3.837783,3.840917,3.844283,3.847682,3.851123,3.854230,3.856984,3.859223,3.860467,3.860802,3.860857,3.860869,3.860869,3.860869,3.860869,3.860869,3.860866,3.860866,3.860866,3.860866,3.860864,3.860861,3.860859,3.860859,3.860859,3.860859,3.860859,3.860874,3.860921,3.860973,3.860990,3.863351,3.878434,3.893559,3.899754,3.899435,3.882016,3.868986,3.861818,3.855955,3.852938,3.851746,3.851381,3.851329,3.850620,3.850419,3.850256,3.850228,3.850219,3.850216,3.850219,3.850223,3.850223,3.850223,3.850223,3.850223,3.851128,3.874041,3.910958,3.939077,3.954422,3.955426,3.955429,3.955446,3.955464,3.955466,3.955466,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955464,3.955486,3.956277,3.957224,3.957616,3.957653,3.957678,3.957690,3.957695,3.960202,3.986592,4.026685,4.057724,4.079266,4.099391,4.117705,4.129977,4.131239,4.131574,4.133703,4.133767,4.133767,4.133767,4.133767,4.133770,4.133777,4.133805,4.136447,4.155009,4.172284,4.180934,4.180899,4.178873,4.174696,4.171429,4.169713,4.169234,4.168858,4.168295,4.168126,4.168047,4.168015,4.168964,4.183006,4.199760,4.209913,4.217340,4.222742,4.222809,4.220218,4.204029,4.193064,4.188017,4.183656,4.181387,4.180549,4.180081,4.179902,4.179654,4.179146,4.179007,4.178938,4.178886,4.178841,4.178777,4.178754,4.178747,4.178742,4.178739,4.178737,4.178732,4.178730,4.178730,4.178727,4.178725,4.178722,4.178722,4.178720,4.178720,4.178717,4.178717,4.178715,4.178715,4.178712,4.178712,4.178712,4.178710,4.178710,4.178710,4.178710,4.178707,4.178707,4.178707,4.178705,4.178705,4.178705,4.178705,4.178705,4.178705,4.178702,4.178702,4.178702,4.178702,4.178702,4.178702,4.178702,4.178700,4.178700,4.178700,4.178700,4.178700,4.178700,4.178700,4.178700,4.178700,4.178697,4.178697,4.178697,4.178697,4.178697,4.178697,4.178697,4.178697,4.178697,4.178697,4.178697,4.178697,4.178697,4.178697,4.178697,4.178697,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.178695,4.179052,4.189559,4.205517,4.216185,4.224956,4.232371,4.238465,4.244254,4.250630,4.255274,4.258420,4.261082,4.263713,4.266261
j7,5.425207,5.425039,5.424878,5.424880,5.424885,5.424890,5.424900,5.424918,5.424950,5.425051,5.425674,5.426824,5.427558,5.428046,5.428321,5.429087,5.429588,5.430820,5.431552,5.431909,5.432615,5.433066,5.434024,5.435166,5.436034,5.436763,5.437613,5.438092,5.439048,5.439664,5.439733,5.439738,5.439753,5.439765,5.439782,5.439797,5.439802,5.439807,5.439810,5.439810,5.439815,5.439817,5.439817,5.439820,5.439822,5.439825,5.439830,5.439837,5.439842,5.439842,5.439845,5.439847,5.440683,5.443635,5.446152,5.447743,5.448447,5.448774,5.449002,5.449067,5.449228,5.449375,5.449449,5.449459,5.449466,5.449474,5.449478,5.449481,5.449483,5.449483,5.449486,5.449486,5.449489,5.449491,5.449493,5.449493,5.449496,5.450849,5.455258,5.458190,5.460702,5.461661,5.461703,5.461728,5.461867,5.462345,5.462427,5.462444,5.462452,5.462457,5.462462,5.462465,5.462467,5.462469,5.462469,5.462469,5.462472,5.462472,5.462472,5.462474,5.462474,5.462477,5.462477,5.462477,5.462479,5.462479,5.462479,5.462482,5.462482,5.462482,5.462482,5.462482,5.462482,5.462484,5.462484,5.462484,5.462487,5.462489,5.462492,5.462494,5.462494,5.462497,5.464420,5.473142,5.479583,5.483252,5.486346,5.489068,5.492187,5.494344,5.494909,5.495021,5.495202,5.495378,5.495425,5.495447,5.495534,5.495628,5.495710,5.495819,5.496858,5.500212,5.502919,5.504580,5.505428,5.505557,5.505584,5.505587,5.505587,5.505589,5.505589,5.505589,5.505589,5.505589,5.505592,5.506202,5.507972,5.510503,5.511986,5.513019,5.514043,5.514158,5.514165,5.514167,5.514170,5.514170,5.514170,5.514170,5.514172,5.514172,5.514172,5.514172,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514175,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514177,5.514202,5.514735,5.515736,5.516185,5.516594,5.517219,5.517497,5.518025,5.518779,5.519711,5.520211,5.520598,5.520720,5.520804
