total_trajT: 16.599889
time,0.000000,0.000102,0.099070,0.200136,0.299077,0.400105,0.499142,0.600101,0.699017,0.800210,0.899035,1.000051,1.099027,1.200115,1.299149,1.400154,1.499225,1.600210,1.699098,1.799132,1.899117,2.000052,2.099283,2.200079,2.299139,2.400037,2.499067,2.600126,2.698997,2.800165,2.899073,3.000127,3.102829,3.199579,3.299310,3.399821,3.501183,3.602844,3.702950,3.802145,3.902006,4.002880,4.100113,4.201535,4.302326,4.402431,4.500275,4.602434,4.700318,4.802896,4.900480,4.999018,5.099551,5.202105,5.302296,5.402700,5.502384,5.600343,5.702148,5.804333,5.902153,6.003030,6.099656,6.202430,6.300840,6.402564,6.502143,6.602377,6.704335,6.799162,6.900996,7.000624,7.101220,7.200086,7.299024,7.400120,7.499100,7.600017,7.699046,7.800029,7.899015,8.000079,8.099037,8.200082,8.299071,8.400021,8.498971,8.600075,8.699039,8.800003,8.899049,9.000043,9.099052,9.200001,9.298992,9.400138,9.499119,9.600073,9.699181,9.800037,9.898947,10.000023,10.099122,10.200065,10.299113,10.400151,10.499164,10.600026,10.698951,10.799990,10.899006,10.999998,11.099059,11.200022,11.299088,11.400119,11.498994,11.599996,11.698955,11.800021,11.899029,12.000044,12.099023,12.198974,12.298998,12.399949,12.499069,12.599058,12.699008,12.799014,12.899037,12.999068,13.099020,13.199948,13.298924,13.399908,13.498931,13.598958,13.698943,13.799961,13.899030,13.999946,14.098985,14.199948,14.299137,14.399976,14.499019,14.599042,14.699016,14.799956,14.898954,14.999973,15.098985,15.198955,15.299023,15.399024,15.498993,15.600041,15.698938,15.800019,15.898979
j1,0.000000,1.915611,1.909603,1.904478,1.903325,1.903271,1.903285,1.903453,1.904093,1.906273,1.909443,1.913459,1.918480,1.923636,1.928398,1.934255,1.940341,1.947437,1.953992,1.961506,1.969687,1.978061,1.985679,1.994692,2.003090,2.012504,2.021506,2.031074,2.041117,2.050507,2.060104,2.070178,2.080753,2.091700,2.102460,2.113392,2.124381,2.135945,2.147079,2.158551,2.169452,2.181168,2.191812,2.203670,2.215082,2.226618,2.237482,2.249295,2.260087,2.272022,2.283590,2.295673,2.307189,2.319820,2.332601,2.344686,2.356379,2.368005,2.378099,2.387660,2.397487,2.410174,2.421744,2.433970,2.452416,2.465803,2.477555,2.490030,2.502684,2.514611,2.526667,2.540571,2.561290,2.578473,2.593141,2.607757,2.622229,2.638355,2.653215,2.668765,2.683919,2.699369,2.714053,2.730123,2.745164,2.760213,2.775548,2.790822,2.805470,2.821159,2.836154,2.851363,2.866537,2.881892,2.896743,2.912392,2.927565,2.942776,2.958335,2.973991,2.988481,3.003749,3.018535,3.033285,3.046572,3.059281,3.071962,3.084490,3.097009,3.109266,3.121215,3.133183,3.145029,3.156601,3.168057,3.179398,3.190838,3.201861,3.213008,3.223718,3.234979,3.245650,3.256571,3.266944,3.278391,3.289039,3.299266,3.309655,3.320691,3.331052,3.341690,3.352317,3.362702,3.373298,3.382740,3.393282,3.403045,3.413322,3.423821,3.434001,3.443750,3.453526,3.463688,3.473544,3.483413,3.493121,3.503128,3.513145,3.523403,3.533514,3.542940,3.552980,3.562569,3.571729,3.578464,3.583543,3.589288,3.595280,3.599944,3.604111,3.608077
j2,0.000000,2.626992,2.628602,2.629692,2.629743,2.629739,2.629734,2.629707,2.629606,2.628812,2.627649,2.625446,2.623522,2.621805,2.619317,2.617293,2.615497,2.612664,2.610184,2.607369,2.604250,2.601473,2.598780,2.596316,2.593887,2.590270,2.586956,2.583432,2.579796,2.576909,2.573508,2.569498,2.565367,2.561433,2.557368,2.550109,2.540247,2.528213,2.512686,2.494312,2.474677,2.451845,2.426892,2.401681,2.374752,2.346819,2.316606,2.286883,2.256769,2.228847,2.204835,2.188703,2.177569,2.171352,2.168071,2.166579,2.165901,2.166111,2.168928,2.175355,2.183225,2.190516,2.197815,2.200593,2.201457,2.205571,2.210412,2.218883,2.228334,2.237093,2.245441,2.249641,2.242217,2.234925,2.230228,2.225227,2.220853,2.215914,2.211206,2.206335,2.202713,2.198196,2.193688,2.189178,2.185258,2.181331,2.177638,2.173404,2.169656,2.165661,2.162536,2.158671,2.155281,2.151299,2.147578,2.144568,2.141224,2.137613,2.133984,2.130817,2.127519,2.124637,2.121491,2.118385,2.116256,2.113684,2.111973,2.109401,2.107775,2.106395,2.104533,2.102762,2.101325,2.100008,2.098636,2.097003,2.095353,2.094416,2.093453,2.092369,2.090973,2.089669,2.088858,2.088414,2.087953,2.086959,2.086079,2.085035,2.084302,2.083818,2.083180,2.082406,2.081846,2.081619,2.081247,2.080008,2.079756,2.079175,2.078490,2.078157,2.077218,2.076378,2.075596,2.075301,2.075157,2.074997,2.074714,2.074118,2.073671,2.073496,2.073312,2.072718,2.071854,2.071617,2.071099,2.070867,2.070677,2.070475,2.070286,2.070250,2.070177
j3,0.000000,3.222519,3.221655,3.220799,3.220392,3.220063,3.219932,3.219766,3.219408,3.219333,3.219332,3.219332,3.219333,3.219335,3.219340,3.219354,3.219403,3.219415,3.219512,3.219688,3.220092,3.220342,3.221077,3.221808,3.222182,3.223052,3.223666,3.224651,3.225573,3.226275,3.226826,3.227668,3.228408,3.229394,3.230344,3.231288,3.232238,3.233248,3.234209,3.235058,3.235945,3.236889,3.237838,3.238779,3.239752,3.240639,3.241370,3.242007,3.243064,3.244015,3.245027,3.246255,3.247247,3.248128,3.249541,3.250523,3.251313,3.251102,3.241734,3.238943,3.244081,3.246026,3.246113,3.245438,3.231943,3.225222,3.224784,3.223942,3.222538,3.222077,3.221474,3.222037,3.227225,3.229783,3.231498,3.233275,3.235289,3.237964,3.240272,3.242960,3.245624,3.248658,3.251557,3.254947,3.257993,3.261228,3.264361,3.267921,3.271317,3.275017,3.278300,3.282039,3.285606,3.289781,3.293603,3.297502,3.301268,3.305419,3.309635,3.313837,3.317360,3.321345,3.325410,3.329475,3.331892,3.334119,3.336308,3.338280,3.340158,3.341932,3.343821,3.345481,3.346763,3.348125,3.349573,3.350535,3.351571,3.352626,3.353487,3.354276,3.355155,3.355766,3.356314,3.357037,3.357686,3.358152,3.358638,3.359113,3.359265,3.359396,3.359841,3.360316,3.360642,3.360790,3.360846,3.360893,3.360971,3.360998,3.361201,3.361615,3.361709,3.361709,3.361716,3.361716,3.361717,3.361717,3.361716,3.361716,3.361716,3.361714,3.361712,3.361711,3.361702,3.361694,3.361694,3.361692,3.361690,3.361690,3.361683,3.361670,3.361665
j4,0.000000,1.775692,1.775707,1.775739,1.775847,1.776002,1.776489,1.776682,1.776786,1.777265,1.777512,1.777826,1.778254,1.778443,1.778848,1.779063,1.779218,1.779774,1.780002,1.780404,1.780752,1.780945,1.781357,1.781541,1.781731,1.782320,1.782608,1.783164,1.783285,1.783401,1.783592,1.783685,1.782165,1.772361,1.752048,1.726659,1.701220,1.675422,1.652244,1.631240,1.614743,1.602221,1.593117,1.585451,1.577737,1.569560,1.561139,1.551011,1.540234,1.525223,1.504561,1.483013,1.464800,1.447226,1.426444,1.404806,1.384015,1.363228,1.330004,1.302960,1.295610,1.287669,1.272897,1.247157,1.200151,1.161217,1.141321,1.129828,1.121306,1.116387,1.113554,1.111705,1.096051,1.080505,1.076164,1.076060,1.076154,1.076513,1.077393,1.079142,1.080410,1.081398,1.082089,1.082527,1.082948,1.082973,1.082960,1.082902,1.082772,1.082344,1.081738,1.080401,1.078920,1.077067,1.075177,1.072798,1.070790,1.067882,1.065304,1.062648,1.060183,1.057221,1.054538,1.053223,1.054295,1.058978,1.064434,1.070841,1.077125,1.084758,1.092414,1.101347,1.110017,1.119896,1.129504,1.140317,1.150762,1.162208,1.173326,1.185448,1.197272,1.209968,1.222291,1.235480,1.249139,1.262582,1.275430,1.289490,1.303913,1.317940,1.332315,1.346905,1.361580,1.376131,1.390300,1.405479,1.419909,1.435184,1.450621,1.465889,1.480443,1.496102,1.511118,1.526909,1.541770,1.557682,1.573090,1.588795,1.604917,1.620882,1.635915,1.652136,1.667519,1.681902,1.691711,1.700513,1.709449,1.717965,1.725086,1.732432,1.738794
j5,0.000000,3.917761,3.917491,3.917072,3.916982,3.916968,3.916963,3.916963,3.916963,3.916963,3.916965,3.916968,3.916968,3.916973,3.916975,3.916980,3.916985,3.916993,3.917000,3.917010,3.917025,3.917027,3.917044,3.917072,3.917101,3.917362,3.917801,3.918475,3.919258,3.920109,3.921262,3.922159,3.922675,3.922878,3.923954,3.925288,3.925603,3.925781,3.926312,3.926587,3.927454,3.927906,3.928481,3.929053,3.930070,3.931037,3.931287,3.931607,3.932492,3.933501,3.934185,3.934617,3.935130,3.935846,3.936022,3.936213,3.936940,3.939759,3.945151,3.945803,3.945790,3.945798,3.945805,3.946916,3.959041,3.962316,3.962349,3.963908,3.966048,3.968172,3.969729,3.974670,3.995550,4.007544,4.014210,4.024878,4.033421,4.042257,4.050240,4.057848,4.063890,4.071392,4.077823,4.084004,4.088565,4.094721,4.099746,4.105538,4.109960,4.114490,4.118127,4.122765,4.126754,4.131080,4.134383,4.138332,4.141176,4.144270,4.147420,4.150544,4.153326,4.156695,4.159085,4.161160,4.161993,4.162290,4.162432,4.162722,4.162801,4.162799,4.162789,4.162776,4.162744,4.162476,4.161807,4.159906,4.158034,4.156321,4.154449,4.151871,4.149441,4.146545,4.143975,4.140690,4.137462,4.135124,4.132355,4.129620,4.126923,4.124302,4.120814,4.117162,4.113719,4.110243,4.107057,4.103465,4.100892,4.097587,4.094200,4.090544,4.086860,4.082724,4.079040,4.075490,4.072639,4.069357,4.066297,4.061689,4.057278,4.053299,4.049855,4.046214,4.043276,4.040296,4.038273,4.035774,4.033349,4.031267,4.028919,4.027278,4.025555
j6,0.000000,3.804049,3.803087,3.802827,3.802765,3.802740,3.802750,3.802780,3.802835,3.803196,3.803737,3.805031,3.806541,3.808031,3.809491,3.811345,3.813277,3.815431,3.817506,3.820005,3.822821,3.825204,3.827524,3.830289,3.832443,3.834684,3.836772,3.839387,3.841673,3.844705,3.847511,3.850519,3.853171,3.855710,3.858568,3.861561,3.863968,3.866430,3.869110,3.872556,3.875627,3.879735,3.883043,3.886295,3.889236,3.891779,3.894387,3.897355,3.899928,3.903327,3.907123,3.911094,3.913970,3.917367,3.920141,3.923059,3.926019,3.932304,3.949712,3.954004,3.952533,3.952648,3.953880,3.957281,3.976366,3.982921,3.984574,3.989342,3.995577,4.000924,4.005677,4.010020,4.014076,4.020041,4.025929,4.031098,4.034698,4.039297,4.043499,4.048936,4.053515,4.058173,4.061587,4.065420,4.069089,4.073566,4.078111,4.083307,4.086996,4.090536,4.093957,4.098105,4.101697,4.106512,4.110374,4.114396,4.117430,4.120804,4.124679,4.128341,4.131802,4.137177,4.141138,4.144227,4.146719,4.149773,4.152349,4.155592,4.158024,4.161802,4.164784,4.167655,4.170115,4.172852,4.174818,4.177212,4.179419,4.182181,4.184271,4.186988,4.189926,4.193000,4.195132,4.197995,4.200140,4.202123,4.203821,4.206187,4.208326,4.210594,4.212689,4.214782,4.217526,4.220159,4.222360,4.224458,4.226496,4.228779,4.230562,4.232403,4.234013,4.236360,4.238257,4.240411,4.242300,4.244881,4.247435,4.250159,4.252252,4.254416,4.256129,4.258261,4.259927,4.261541,4.262731,4.263968,4.265158,4.266316,4.267330,4.268344,4.268956
j7,0.000000,5.426471,5.425904,5.425792,5.425790,5.425790,5.425792,5.425797,5.425800,5.425805,5.425819,5.425819,5.425834,5.425851,5.425876,5.425990,5.426623,5.427240,5.427646,5.428192,5.428452,5.428951,5.429367,5.429950,5.430887,5.431536,5.431774,5.432255,5.432888,5.433297,5.434211,5.435243,5.435622,5.436460,5.437266,5.438007,5.439023,5.439936,5.440360,5.441307,5.441902,5.442663,5.443295,5.443731,5.444579,5.445018,5.445690,5.446545,5.447143,5.447450,5.448184,5.448571,5.449245,5.449907,5.450834,5.451645,5.452081,5.453269,5.455252,5.455949,5.455958,5.456184,5.456777,5.457719,5.460146,5.460875,5.461316,5.461849,5.462997,5.464159,5.465159,5.466525,5.468305,5.469574,5.470095,5.470791,5.471525,5.472370,5.473251,5.473816,5.474969,5.476005,5.476707,5.477177,5.477869,5.478635,5.479657,5.480767,5.481410,5.481804,5.482263,5.483522,5.484350,5.485150,5.485458,5.485959,5.486517,5.487429,5.487945,5.488765,5.489152,5.489960,5.490439,5.491512,5.492390,5.492687,5.493216,5.493868,5.494951,5.496118,5.496877,5.497254,5.497708,5.498447,5.498890,5.499706,5.499993,5.500727,5.501129,5.501679,5.501897,5.502187,5.503072,5.503509,5.504369,5.504825,5.505368,5.505606,5.505931,5.506573,5.506779,5.507019,5.508061,5.508849,5.509176,5.509526,5.510138,5.510371,5.510550,5.511150,5.511668,5.512181,5.512608,5.512843,5.513381,5.513874,5.514000,5.514333,5.514890,5.515228,5.515639,5.516155,5.516311,5.516485,5.516938,5.517280,5.517380,5.517491,5.517628,5.517846,5.518302
